學年度,學期別,課號,永久課號,課程名稱,人數上限,上課時間,上課教室,學分,時數,開課教師,所屬系所名稱,選別,開課系所
101,1,311,DAM1355,微積分Ｂ（一）,120,2CD5EF,SA321,4,4,李榮耀,應用數學系,必修,微積分教學小組
101,1,312,DAM1355,微積分Ｂ（一）,60,2CD5EF,SC105,4,4,薛名成,應用數學系,必修,微積分教學小組
101,1,313,DAM1355,微積分Ｂ（一）,60,2CD,SA320,4,4,白啟光,應用數學系,必修,微積分教學小組
101,1,314,DAM1355,微積分Ｂ（一）,60,2CD5EF,SC106,4,4,許義容,應用數學系,必修,微積分教學小組
101,1,315,DAM1355,微積分Ｂ（一）,61,2CD5EF,EE209,4,4,楊春美,電機工程學系,必修,微積分教學小組
101,1,316,DAM1355,微積分Ｂ（一）,60,2CD5EF,A205,4,4,洪慧念,統計學研究所,必修,微積分教學小組
101,1,317,DAM1355,微積分Ｂ（一）,60,2CD5EF,SC109,4,4,余啟哲,應用數學系,必修,微積分教學小組
101,1,318,DAM1355,微積分Ｂ（一）,60,2CD5EF,SC110,4,4,王夏聲,應用數學系,必修,微積分教學小組
101,1,319,DAM1355,微積分Ｂ（一）,60,2CD5EF,SC151,4,4,翁志文,應用數學系,必修,微積分教學小組
101,1,320,DAM1355,微積分Ｂ（一）,60,2CD5EF,SA312,4,4,王國仲,應用數學系,必修,微積分教學小組
101,1,321,DAM1355,微積分Ｂ（一）,60,2CD5EF,SC152,4,4,陳逸昆,應用數學系,必修,微積分教學小組
101,1,351,DAM1358,微積分（二）,0,1X2X,SC207,4,4,白啟光,應用數學系,必修,微積分教學小組
101,1,352,DAM1358,微積分（二）,90,2IJ4IJ,SC106,4,4,邵錦昌,應用數學系,必修,微積分教學小組
101,1,353,DAM1358,微積分（二）,60,2IJ4IJ,SA312,4,4,李忠逵,應用數學系,必修,微積分教學小組
101,1,354,DAM1365,商用微積分（一）,60,2CD5EF,SA215,4,4,吳慶堂,應用數學系,必修,微積分教學小組
101,1,371,DAM1373,微積分學而班一(榮譽),0,1J,SA210,1,1,余啟哲,應用數學系,選修,微積分教學小組
101,1,372,DAM1373,微積分學而班一(榮譽),0,2X,SC109,1,1,薛名成,應用數學系,選修,微積分教學小組
101,1,374,DAM1373,微積分學而班一(榮譽),0,2I,SC105,1,1,王國仲,應用數學系,選修,微積分教學小組
101,1,411,DAM1345,微積分Ａ（一）,120,1GH4CD,SA321,4,4,李榮耀,應用數學系,必修,微積分教學小組
101,1,412,DAM1345,微積分Ａ（一）,65,1GH4CD,SC106,4,4,符麥克,應用數學系,必修,微積分教學小組
101,1,413,DAM1345,微積分Ａ（一）,60,1GH4CD,SC105,4,4,許義容,應用數學系,必修,微積分教學小組
101,1,414,DAM1345,微積分Ａ（一）,71,1GH4CD,EE102,4,4,楊春美,電機工程學系,必修,微積分教學小組
101,1,415,DAM1345,微積分Ａ（一）,60,1GH4CD,SC109,4,4,余啟哲,應用數學系,必修,微積分教學小組
101,1,416,DAM1345,微積分Ａ（一）,60,1GH4CD,SC110,4,4,吳金典,應用數學系,必修,微積分教學小組
101,1,417,DAM1345,微積分Ａ（一）,60,1GH4CD,SC151,4,4,葉立明,應用數學系,必修,微積分教學小組
101,1,418,DAM1345,微積分Ａ（一）,60,1GH4CD,SC152,4,4,陳逸昆,應用數學系,必修,微積分教學小組
101,1,513,DEP1111,物理(一),65,1CD4GH,SC151,4,4,羅志偉,電子物理學系,必修,普通物理教學小組
101,1,514,DEP1111,物理(一),75,1CD4GH,SA321,4,4,陳煜璋,電子物理學系,必修,普通物理教學小組
101,1,515,DEP1111,物理(一),65,1CD4GH,SC110,4,4,趙如蘋,電子物理學系,必修,普通物理教學小組
101,1,516,DEP1111,物理(一),65,1CD4GH,SC105,4,4,蘇冠暐,電子物理學系,必修,普通物理教學小組
101,1,517,DEP1111,物理(一),65,1CD4GH,SC152,4,4,齊祖康,電子物理學系,必修,普通物理教學小組
101,1,518,DEP1111,物理(一),180,4GH,SC001,4,4,李威儀,電子物理學系,必修,普通物理教學小組
101,1,523,DEP1111,物理(一),60,2GH5CD,SC110,4,4,陳衛國,電子物理學系,必修,普通物理教學小組
101,1,524,DEP1111,物理(一),60,2GH5CD,SC105,4,4,林烜輝,電子物理學系,必修,普通物理教學小組
101,1,525,DEP1111,物理(一),60,2GH5CD,SC109,4,4,吳光雄,電子物理學系,必修,普通物理教學小組
101,1,541,DEP1117,物理一(榮譽班)作業演算,9999,4IJ,SC109,0,2,許世英,電子物理學系,選修,普通物理教學小組
101,1,542,DEP1117,物理一(榮譽班)作業演算,9999,5JK,SC106,0,2,簡紋濱,電子物理學系,選修,普通物理教學小組
101,1,543,DEP1115,物理一作業演算,9999,5JK,SC159,0,2,羅志偉,電子物理學系,必修,普通物理教學小組
101,1,544,DEP1115,物理一作業演算,9999,5JK,SC110,0,2,陳煜璋,電子物理學系,必修,普通物理教學小組
101,1,545,DEP1115,物理一作業演算,9999,5JK,SC151,0,2,趙如蘋,電子物理學系,必修,普通物理教學小組
101,1,546,DEP1115,物理一作業演算,9999,5JK,SC158,0,2,蘇冠暐,電子物理學系,必修,普通物理教學小組
101,1,551,DEP1117,物理一(榮譽班)作業演算,9999,5JK,SC152,0,2,莊振益,電子物理學系,選修,普通物理教學小組
101,1,552,DEP1115,物理一作業演算,9999,5JK,SC160,0,2,陳衛國,電子物理學系,必修,普通物理教學小組
101,1,553,DEP1115,物理一作業演算,9999,5JK,SC162,0,2,林烜輝,電子物理學系,必修,普通物理教學小組
101,1,554,DEP1115,物理一作業演算,9999,5JK,SA320,0,2,吳光雄,電子物理學系,必修,普通物理教學小組
101,1,555,DEP1117,物理一(榮譽班)作業演算,9999,5JK,SC105,0,2,陳文雄,電子物理學系,選修,普通物理教學小組
101,1,561,DEP1112,物理(二),70,2YI4YI,SA321,4,4,齊祖康,電子物理學系,必修,普通物理教學小組
101,1,562,DEP1112,物理(二),70,2GH,SC106,4,4,李威儀,電子物理學系,必修,普通物理教學小組
101,1,1001,ECE1103,離散數學,9999,4GH5A,ED525,3,3,陳玲慧,資訊工程學系,必修,電機資訊學士班
101,1,1003,ECE1110,大學生活規劃,9999,3EF,ED525,1,2,吳立妍,諮商中心,必修,電機資訊學士班
101,1,1004,ECE1115,數位電路設計,50,2C4EF,ED525,3,3,單智君,資訊工程學系,必修,電機資訊學士班
101,1,1005,ECE2201,電機書報專題,9999,6A,,1,1,黃遠東,電子工程學系,選修,電機資訊學士班
101,1,1008,ECE1001,電機資訊科技,9999,3EF,EDB07,1,2,陳永昇,資訊工程學系,必修,電機資訊學士班
101,1,1011,ECE1601,國外研習,9999,6ABC,,3,3,黃遠東,電子工程學系,選修,電機資訊學士班
101,1,1014,DEE1112,電子與生活,9999,2H,ED117,0,1,陳紹基,電子工程學系,必修,電子工程學系
101,1,1015,DEE1204,物理（一）,65,1CD3EF,ED101,3,4,林詩淳,電子工程學系,必修,電子工程學系
101,1,1016,DEE1204,物理（一）,65,1CD3EF,ED116,3,4,顏順通,電子工程學系,必修,電子工程學系
101,1,1019,DEE1318,計算機概論與程式設計,9999,1EF4B,ED220,3,4,江蕙如,電子工程學系,必修,電子工程學系
101,1,1020,DEE1509,化學 （一）,9999,2BCD,ED116,3,3,張國明,電子工程學系,必修,電子工程學系
101,1,1021,DEE1531,近代生物學(一),9999,1B4GH,SC106,3,3,袁俊傑,生物科技學系,選修,電子工程學系
101,1,1022,DEE2485,工程數學：線性代數,65,3B5CD,ED116,3,3,張錫嘉,電子工程學系,必修,電子工程學系
101,1,1023,DEE2487,工程數學：線性代數(英文班),65,3B5CD,ED103,3,3,馮智豪,電子工程學系,必修,電子工程學系
101,1,1025,DEE2201,電子學一(英文班),65,1GH4CD,ED201,3,4,王毓駒,電子工程學系,必修,電子工程學系
101,1,1026,DEE2320,電子學（一）,65,1GH4CD,ED116,3,4,陳巍仁,電子工程學系,必修,電子工程學系
101,1,1027,DEE2320,電子學（一）,65,1GH4CD,AB102,3,4,陳龍英,電子工程學系,必修,電子工程學系
101,1,1028,DEE2330,電路學,65,2CD4GH,ED101,3,4,吳介琮,電子工程學系,必修,電子工程學系
101,1,1029,DEE2330,電路學,65,2CD4GH,ED201,3,4,蔡嘉明,電子工程學系,必修,電子工程學系
101,1,1032,DEE2505,資料結構,9999,2EF4F,ED220,3,3,陳宏明,電子工程學系,必修,電子工程學系
101,1,1033,DEE3516,材料科學導論,9999,2B5EF,EE106,3,3,鄭晃忠,電子工程學系,選修,電子工程學系
101,1,1034,SEV2002,服務學習(二),9999,,,0,2,黃遠東,電子工程學系,必修,電子工程學系
101,1,1036,DEE2543,數值分析,60,2G5CD,ED301,3,3,侯拓宏,電子工程學系,選修,電子工程學系
101,1,1037,DEE3310,電磁學,65,1B4EF,ED201,3,3,胡樹,電子工程學系,必修,電子工程學系
101,1,1038,DEE3310,電磁學,65,1B4EF,ED101,3,3,林聖迪,電子工程學系,必修,電子工程學系
101,1,1039,DEE3334,通訊原理,65,2B5EF,ED201,3,3,劉志尉,電子工程學系,選修,電子工程學系
101,1,1040,DEE3334,通訊原理,65,2CD5F,ED102,3,3,馮智豪,電子工程學系,選修,電子工程學系
101,1,1041,DEE3343,控制系統導論,9999,3A5GH,ED101,3,3,蔡嘉明,電子工程學系,選修,電子工程學系
101,1,1042,DEE3504,演算法,9999,2GH3B,ED116,3,3,黃俊達,電子工程學系,選修,電子工程學系
101,1,1043,DEE3505,嵌入式系統技術實驗,30,2IJK3EF,ED414,2,5,郭峻因,電子工程學系,選修,電子工程學系
101,1,1044,DEE3513,量子力學導論,60,2CD4G,ED301,3,3,李建平,電子工程學系,必修,電子工程學系
101,1,1045,DEE4521,半導體元件物理,9999,1EF4B,ED101,3,3,陳明哲,電子工程學系,選修,電子工程學系
101,1,1046,DEE4536,數位訊號處理實驗,40,1CD1IJK,EDB22,2,5,張錫嘉,電子工程學系,選修,電子工程學系
101,1,1047,DEE4539,超大型積體電路設計導論,100,1GH4CD,ED220,3,4,張添烜,電子工程學系,選修,電子工程學系
101,1,1048,DEE4641,計算機組織,9999,2EF4H,EE106,3,3,賴伯承,電子工程學系,選修,電子工程學系
101,1,1052,DEE4515,半導體工程,9999,2EF4H,ED101,3,3,荊鳳德,電子工程學系,必修,電子工程學系
101,1,1053,DEE4551,固態物理（二）,9999,1CD3B,ED203,3,3,汪大暉,電子工程學系,選修,電子工程學系
101,1,1056,UEE1002,生涯規劃,9999,3EF,EE105,1,2,陳靜儀,諮商中心,必修,電機工程學系
101,1,1057,UEE1004,機器人科技與應用,9999,3CD,EE623,2,2,胡竹生,電機工程學系,選修,電機工程學系
